,n_nodes,n_processors,width,density,regular,jump,GA_makespan,proposedAlgo
245,40,2,0.5,0.1,1.0,2,371.0,337.0
246,40,2,0.5,0.5,0.1,2,446.0,383.0
247,40,2,0.5,0.5,0.5,2,433.0,339.0
248,40,2,0.5,0.5,1.0,2,535.0,443.0
249,40,2,0.5,1.0,0.1,2,448.0,379.0
250,40,2,0.5,1.0,0.5,2,435.0,364.0
251,40,2,0.5,1.0,1.0,2,511.0,304.0
252,40,2,1.0,0.1,0.1,2,381.0,358.0
253,40,2,1.0,0.1,0.5,2,340.0,309.0
254,40,2,1.0,0.1,1.0,2,334.0,315.0
255,40,2,1.0,0.5,0.1,2,373.0,370.0
256,40,2,1.0,0.5,0.5,2,469.0,377.0
257,40,2,1.0,0.5,1.0,2,361.0,315.0
258,40,2,1.0,1.0,0.1,2,411.0,346.0
259,40,2,1.0,1.0,0.5,2,392.0,359.0
260,40,2,1.0,1.0,1.0,2,429.0,334.0
261,40,2,10.0,0.1,0.1,2,334.0,319.0
262,40,2,10.0,0.1,0.5,2,273.0,280.0
263,40,2,10.0,0.1,1.0,2,342.0,338.0
264,40,2,10.0,0.5,0.1,2,284.0,285.0
265,40,2,10.0,0.5,0.5,2,327.0,305.0
266,40,2,10.0,0.5,1.0,2,335.0,319.0
267,40,2,10.0,1.0,0.1,2,317.0,325.0
268,40,2,10.0,1.0,0.5,2,325.0,325.0
269,40,2,10.0,1.0,1.0,2,373.0,362.0
270,40,4,0.5,0.1,0.1,2,450.0,298.0
271,40,4,0.5,0.1,0.5,2,404.0,293.0
272,40,4,0.5,0.1,1.0,2,385.0,280.0
273,40,4,0.5,0.5,0.1,2,543.0,256.0
274,40,4,0.5,0.5,0.5,2,429.0,221.0
275,40,4,0.5,0.5,1.0,2,512.0,223.0
276,40,4,0.5,1.0,0.1,2,551.0,207.0
277,40,4,0.5,1.0,0.5,2,537.0,216.0
278,40,4,0.5,1.0,1.0,2,465.0,249.0
279,40,4,1.0,0.1,0.1,2,341.0,271.0
280,40,4,1.0,0.1,0.5,2,289.0,195.0
281,40,4,1.0,0.1,1.0,2,278.0,178.0
282,40,4,1.0,0.5,0.1,2,257.0,178.0
283,40,4,1.0,0.5,0.5,2,332.0,236.0
284,40,4,1.0,0.5,1.0,2,393.0,249.0
285,40,4,1.0,1.0,0.1,2,399.0,198.0
286,40,4,1.0,1.0,0.5,2,341.0,227.0
287,40,4,1.0,1.0,1.0,2,394.0,206.0
288,40,4,10.0,0.1,0.1,2,222.0,192.0
289,40,4,10.0,0.1,0.5,2,250.0,222.0
290,40,4,10.0,0.1,1.0,2,207.0,195.0
291,40,4,10.0,0.5,0.1,2,227.0,212.0
292,40,4,10.0,0.5,0.5,2,223.0,193.0
293,40,4,10.0,0.5,1.0,2,230.0,201.0
294,40,4,10.0,1.0,0.1,2,218.0,204.0
295,40,4,10.0,1.0,0.5,2,229.0,213.0
296,40,4,10.0,1.0,1.0,2,251.0,223.0
297,40,6,0.5,0.1,0.1,2,469.0,311.0
298,40,6,0.5,0.1,0.5,2,473.0,331.0
299,40,6,0.5,0.1,1.0,2,412.0,287.0
300,40,6,0.5,0.5,0.1,2,460.0,243.0
301,40,6,0.5,0.5,0.5,2,445.0,248.0
302,40,6,0.5,0.5,1.0,2,540.0,222.0
303,40,6,0.5,1.0,0.1,2,536.0,241.0
304,40,6,0.5,1.0,0.5,2,519.0,166.0
305,40,6,0.5,1.0,1.0,2,524.0,174.0
306,40,6,1.0,0.1,0.1,2,288.0,213.0
307,40,6,1.0,0.1,0.5,2,295.0,214.0
308,40,6,1.0,0.1,1.0,2,300.0,217.0
309,40,6,1.0,0.5,0.1,2,314.0,152.0
310,40,6,1.0,0.5,0.5,2,352.0,219.0
311,40,6,1.0,0.5,1.0,2,347.0,235.0
312,40,6,1.0,1.0,0.1,2,341.0,222.0
313,40,6,1.0,1.0,0.5,2,294.0,218.0
314,40,6,1.0,1.0,1.0,2,429.0,277.0
315,40,6,10.0,0.1,0.1,2,201.0,165.0
316,40,6,10.0,0.1,0.5,2,182.0,168.0
317,40,6,10.0,0.1,1.0,2,169.0,144.0
318,40,6,10.0,0.5,0.1,2,195.0,158.0
319,40,6,10.0,0.5,0.5,2,196.0,180.0
320,40,6,10.0,0.5,1.0,2,182.0,156.0
321,40,6,10.0,1.0,0.1,2,176.0,156.0
322,40,6,10.0,1.0,0.5,2,181.0,163.0
323,40,6,10.0,1.0,1.0,2,216.0,177.0
324,60,2,0.5,0.1,0.1,2,560.0,553.0
325,60,2,0.5,0.1,0.5,2,508.0,479.0
326,60,2,0.5,0.1,1.0,2,543.0,575.0
327,60,2,0.5,0.5,0.1,2,536.0,489.0
328,60,2,0.5,0.5,0.5,2,607.0,506.0
329,60,2,0.5,0.5,1.0,2,585.0,466.0
330,60,2,0.5,1.0,0.1,2,663.0,498.0
331,60,2,0.5,1.0,0.5,2,691.0,497.0
332,60,2,0.5,1.0,1.0,2,677.0,539.0
333,60,2,1.0,0.1,0.1,2,509.0,493.0
334,60,2,1.0,0.1,0.5,2,501.0,480.0
335,60,2,1.0,0.1,1.0,2,505.0,487.0
336,60,2,1.0,0.5,0.1,2,507.0,462.0
337,60,2,1.0,0.5,0.5,2,512.0,437.0
338,60,2,1.0,0.5,1.0,2,549.0,514.0
339,60,2,1.0,1.0,0.1,2,527.0,485.0
340,60,2,1.0,1.0,0.5,2,595.0,466.0
341,60,2,1.0,1.0,1.0,2,577.0,478.0
342,60,2,10.0,0.1,0.1,2,485.0,486.0
343,60,2,10.0,0.1,0.5,2,472.0,459.0
344,60,2,10.0,0.1,1.0,2,445.0,427.0
345,60,2,10.0,0.5,0.1,2,505.0,499.0
346,60,2,10.0,0.5,0.5,2,486.0,477.0
347,60,2,10.0,0.5,1.0,2,466.0,464.0
348,60,2,10.0,1.0,0.1,2,500.0,500.0
349,60,2,10.0,1.0,0.5,2,508.0,492.0
350,60,2,10.0,1.0,1.0,2,492.0,489.0
351,60,4,0.5,0.1,0.1,2,450.0,371.0
352,60,4,0.5,0.1,0.5,2,444.0,377.0
353,60,4,0.5,0.1,1.0,2,464.0,359.0
354,60,4,0.5,0.5,0.1,2,542.0,236.0
355,60,4,0.5,0.5,0.5,2,598.0,252.0
356,60,4,0.5,0.5,1.0,2,574.0,362.0
357,60,4,0.5,1.0,0.1,2,633.0,247.0
358,60,4,0.5,1.0,0.5,2,667.0,274.0
359,60,4,0.5,1.0,1.0,2,621.0,307.0
360,60,4,1.0,0.1,0.1,2,385.0,275.0
